DATA,COD_NEGOCIACAO,NOME_EMPRESA,TIPO_MERCADO,PRECO_ABERTURA,PRECO_FECHAMENTO
2025-01-02,BAZA3,AMAZONIA,010,86.99,84.15
2025-01-02,BBAS3,BRASIL,010,24.17,23.92
2025-01-02,ABCB4,ABC BRASIL,010,19.6,19.18
2025-01-02,ITUB3,ITAUUNIBANCO,010,27.07,26.86
2025-01-02,ITUB4,ITAUUNIBANCO,010,30.65,30.57
2025-01-02,EGIE3,ENGIE BRASIL,010,35.5,35.36
2025-01-02,BPAC11,BTGP BANCO,010,27.45,27.1
2025-01-02,BPAC3,BTGP BANCO,010,14.34,13.99
2025-01-02,BPAC5,BTGP BANCO,010,7.1,7.08
2025-01-02,IRBR3,IRBBRASIL RE,010,43.0,44.52
2025-01-02,BMGB4,BANCO BMG,010,3.77,3.71
2025-01-02,BMIN4,MERC INVEST,010,16.9,16.9
2025-01-02,CVCB3,CVC BRASIL,010,1.39,1.5
2025-01-02,BRSR3,BANRISUL,010,11.65,11.66
2025-01-02,BRSR6,BANRISUL,010,10.21,10.11
2025-01-02,BSLI3,BRB BANCO,010,8.1,8.1
2025-01-02,BSLI4,BRB BANCO,010,8.17,8.47
2025-01-02,ITSA3,ITAUSA,010,9.0,8.87
2025-01-02,ITSA4,ITAUSA,010,8.81,8.68
2025-01-02,PINE3,PINE,010,4.4,4.41
2025-01-02,PINE4,PINE,010,4.36,4.33
2025-01-02,VIVT3,TELEF BRASIL,010,46.5,47.06
2025-01-02,BGIP3,BANESE,010,24.9,24.9
2025-01-02,BGIP4,BANESE,010,24.0,23.01
2025-01-02,SANB11,SANTANDER BR,010,23.8,23.75
2025-01-02,SANB3,SANTANDER BR,010,11.42,11.37
2025-01-02,SANB4,SANTANDER BR,010,12.71,12.52
2025-01-02,BEES3,BANESTES,010,8.5,8.48
2025-01-02,BEES4,BANESTES,010,8.74,8.66
2025-01-02,BBDC3,BRADESCO,010,10.45,10.48
2025-01-02,BBDC4,BRADESCO,010,11.31,11.4
2025-01-02,BRBI11,BR PARTNERS,010,13.2,12.99
2025-01-02,LPSB3,LOPES BRASIL,010,1.5,1.52
2025-01-02,AGRO3,BRASILAGRO,010,22.34,22.25
2025-01-02,BPAN4,BANCO PAN,010,6.34,6.18
2025-01-02,ITSA3F,ITAUSA,020,9.09,8.99
2025-01-02,ITSA4F,ITAUSA,020,8.86,8.68
2025-01-02,BRSR3F,BANRISUL,020,11.75,11.9
2025-01-02,BRSR5F,BANRISUL,020,15.19,15.99
2025-01-02,BRSR6F,BANRISUL,020,10.2,10.1
2025-01-02,BSLI3F,BRB BANCO,020,8.13,7.99
2025-01-02,BSLI4F,BRB BANCO,020,8.26,8.01
2025-01-02,CVCB3F,CVC BRASIL,020,1.4,1.5
2025-01-02,EGIE3F,ENGIE BRASIL,020,35.9,35.3
2025-01-02,ITUB3F,ITAUUNIBANCO,020,27.08,26.67
2025-01-02,ITUB4F,ITAUUNIBANCO,020,30.68,30.48
2025-01-02,OSXB3F,OSX BRASIL,020,3.69,3.67
2025-01-02,PINE11F,PINE,020,5.9,5.9
2025-01-02,PINE3F,PINE,020,4.75,4.4
2025-01-02,PINE4F,PINE,020,4.42,4.43
2025-01-02,LPSB3F,LOPES BRASIL,020,1.48,1.48
2025-01-02,AGRO3F,BRASILAGRO,020,22.27,22.09
2025-01-02,BBDC3F,BRADESCO,020,10.54,10.48
2025-01-02,BBDC4F,BRADESCO,020,11.38,11.48
2025-01-02,BRBI11F,BR PARTNERS,020,13.46,13.11
2025-01-02,IRBR3F,IRBBRASIL RE,020,43.0,44.4
2025-01-02,ABCB4F,ABC BRASIL,020,19.55,19.16
2025-01-02,BMGB4F,BANCO BMG,020,3.79,3.73
2025-01-02,BMIN3F,MERC INVEST,020,20.29,20.3
2025-01-02,BMIN4F,MERC INVEST,020,17.3,17.3
2025-01-02,BNBR3F,NORD BRASIL,020,101.98,101.99
2025-01-02,BBAS3F,BRASIL,020,24.23,24.0
2025-01-02,BGIP4F,BANESE,020,24.18,23.79
2025-01-02,BPAN4F,BANCO PAN,020,6.34,6.2
2025-01-02,BAZA3F,AMAZONIA,020,85.95,86.4
2025-01-02,BEES3F,BANESTES,020,8.6,8.5
2025-01-02,VIVT3F,TELEF BRASIL,020,46.78,46.98
2025-01-02,BEES4F,BANESTES,020,8.65,8.67
2025-01-02,BGIP3F,BANESE,020,25.25,25.34
2025-01-02,RPAD3F,ALFA HOLDING,020,6.79,6.79
2025-01-02,SANB11F,SANTANDER BR,020,24.19,23.7
2025-01-02,SANB3F,SANTANDER BR,020,11.56,11.69
2025-01-02,SANB4F,SANTANDER BR,020,12.77,12.39
2025-01-02,BPAC11F,BTGP BANCO,020,27.18,26.99
2025-01-02,BPAC3F,BTGP BANCO,020,14.28,14.5
2025-01-02,BPAC5F,BTGP BANCO,020,7.19,7.2
2025-01-03,ITSA3,ITAUSA,010,8.9,8.74
2025-01-03,ITSA4,ITAUSA,010,8.68,8.53
2025-01-03,VIVT3,TELEF BRASIL,010,47.09,46.86
2025-01-03,BRSR6,BANRISUL,010,10.11,9.57
2025-01-03,BSLI4,BRB BANCO,010,8.39,8.39
2025-01-03,SANB11,SANTANDER BR,010,23.76,23.42
2025-01-03,SANB3,SANTANDER BR,010,11.37,11.11
2025-01-03,SANB4,SANTANDER BR,010,12.52,12.24
2025-01-03,PINE3,PINE,010,4.63,4.94
2025-01-03,PINE4,PINE,010,4.36,4.34
2025-01-03,IRBR3,IRBBRASIL RE,010,44.01,42.05
2025-01-03,AGRO3,BRASILAGRO,010,22.27,22.23
2025-01-03,ABCB4,ABC BRASIL,010,19.08,18.99
2025-01-03,LPSB3,LOPES BRASIL,010,1.52,1.47
2025-01-03,BBDC3,BRADESCO,010,10.47,10.32
2025-01-03,BBDC4,BRADESCO,010,11.4,11.2
2025-01-03,BRBI11,BR PARTNERS,010,13.05,12.68
2025-01-03,CVCB3,CVC BRASIL,010,1.52,1.5
2025-01-03,BMGB4,BANCO BMG,010,3.72,3.73
2025-01-03,BMIN4,MERC INVEST,010,16.89,16.89
2025-01-03,BAZA3,AMAZONIA,010,84.37,84.61
2025-01-03,BBAS3,BRASIL,010,23.92,23.74
2025-01-03,BEES3,BANESTES,010,8.43,8.21
2025-01-03,BEES4,BANESTES,010,8.66,8.65
2025-01-03,BGIP3,BANESE,010,24.87,24.87
2025-01-03,BGIP4,BANESE,010,23.2,23.19
2025-01-03,BPAN4,BANCO PAN,010,6.21,6.18
2025-01-03,BPAC11,BTGP BANCO,010,27.0,26.72
2025-01-03,BPAC3,BTGP BANCO,010,13.67,13.87
2025-01-03,BPAC5,BTGP BANCO,010,7.31,7.1
2025-01-03,EGIE3,ENGIE BRASIL,010,35.4,35.31
2025-01-03,ITUB3,ITAUUNIBANCO,010,26.86,26.39
2025-01-03,ITUB4,ITAUUNIBANCO,010,30.59,29.82
2025-01-03,BRSR3,BANRISUL,010,11.66,11.21
2025-01-03,AGRO3F,BRASILAGRO,020,22.32,22.07
2025-01-03,BNBR3F,NORD BRASIL,020,93.49,93.49
2025-01-03,BRSR3F,BANRISUL,020,11.9,11.27
2025-01-03,BRSR5F,BANRISUL,020,15.99,16.0
2025-01-03,BRSR6F,BANRISUL,020,10.11,9.65
2025-01-03,BSLI3F,BRB BANCO,020,8.07,8.07
2025-01-03,BSLI4F,BRB BANCO,020,8.17,8.28
2025-01-03,ITSA3F,ITAUSA,020,8.99,8.77
