DATA,COD_NEGOCIACAO,NOME_EMPRESA,TIPO_MERCADO,PRECO_ABERTURA,PRECO_FECHAMENTO
2023-01-02,BRIV3,ALFA INVEST,010,9.0,9.0
2023-01-02,BRIV4,ALFA INVEST,010,9.29,8.99
2023-01-02,AESB3,AES BRASIL,010,9.65,9.5
2023-01-02,AGRO3,BRASILAGRO,010,29.96,29.11
2023-01-02,BRSR3,BANRISUL,010,10.71,10.63
2023-01-02,LPSB3,LOPES BRASIL,010,1.8,1.8
2023-01-02,OSXB3,OSX BRASIL,010,6.5,6.6
2023-01-02,BBDC3,BRADESCO,010,13.47,13.19
2023-01-02,BBDC4,BRADESCO,010,14.9,14.75
2023-01-02,BEES3,BANESTES,010,5.53,5.19
2023-01-02,BEES4,BANESTES,010,6.48,6.19
2023-01-02,BPAN4,BANCO PAN,010,6.01,5.74
2023-01-02,BAZA3,AMAZONIA,010,48.62,49.32
2023-01-02,BBAS3,BRASIL,010,34.22,33.26
2023-01-02,BPAC11,BTGP BANCO,010,23.17,22.58
2023-01-02,BRSR5,BANRISUL,010,17.48,17.48
2023-01-02,BRSR6,BANRISUL,010,9.7,9.45
2023-01-02,BPAC3,BTGP BANCO,010,12.85,13.0
2023-01-02,BPAC5,BTGP BANCO,010,5.6,5.14
2023-01-02,PINE4,PINE,010,1.63,1.62
2023-01-02,EGIE3,ENGIE BRASIL,010,37.83,37.32
2023-01-02,ITUB3,ITAUUNIBANCO,010,21.63,21.45
2023-01-02,ITUB4,ITAUUNIBANCO,010,24.43,24.49
2023-01-02,BMEB3,MERC BRASIL,010,10.0,10.0
2023-01-02,BMEB4,MERC BRASIL,010,10.01,10.0
2023-01-02,BMGB4,BANCO BMG,010,2.2,2.18
2023-01-02,BMIN3,MERC INVEST,010,19.0,19.0
2023-01-02,BMIN4,MERC INVEST,010,13.27,13.27
2023-01-02,BRBI11,BR PARTNERS,010,11.99,11.41
2023-01-02,ITSA3,ITAUSA,010,8.9,8.83
2023-01-02,ITSA4,ITAUSA,010,8.44,8.36
2023-01-02,SANB11,SANTANDER BR,010,28.1,27.76
2023-01-02,SANB3,SANTANDER BR,010,13.3,13.23
2023-01-02,SANB4,SANTANDER BR,010,14.94,14.83
2023-01-02,MODL3,MODALMAIS,010,2.15,2.06
2023-01-02,IRBR3,IRBBRASIL RE,010,0.86,0.87
2023-01-02,ABCB4,ABC BRASIL,010,19.33,18.59
2023-01-02,CVCB3,CVC BRASIL,010,4.44,4.25
2023-01-02,VIVT3,TELEF BRASIL,010,37.0,36.39
2023-01-02,VIVT3F,TELEF BRASIL,020,37.53,36.37
2023-01-02,BRSR3F,BANRISUL,020,10.96,10.8
2023-01-02,BRSR5F,BANRISUL,020,17.57,17.57
2023-01-02,BRSR6F,BANRISUL,020,9.7,9.47
2023-01-02,BSLI3F,BRB BANCO,020,17.64,15.69
2023-01-02,BSLI4F,BRB BANCO,020,13.04,14.2
2023-01-02,IRBR3F,IRBBRASIL RE,020,0.88,0.87
2023-01-02,RPAD3F,ALFA HOLDING,020,7.33,7.06
2023-01-02,MODL3F,MODALMAIS,020,2.21,2.17
2023-01-02,SANB11F,SANTANDER BR,020,28.23,28.13
2023-01-02,SANB3F,SANTANDER BR,020,13.3,13.18
2023-01-02,SANB4F,SANTANDER BR,020,14.94,14.75
2023-01-02,LPSB3F,LOPES BRASIL,020,1.84,1.78
2023-01-02,OSXB3F,OSX BRASIL,020,6.56,6.89
2023-01-02,BNBR3F,NORD BRASIL,020,72.08,75.0
2023-01-02,BAZA3F,AMAZONIA,020,49.12,48.9
2023-01-02,BBAS3F,BRASIL,020,34.49,33.26
2023-01-02,BPAC11F,BTGP BANCO,020,23.42,22.4
2023-01-02,PINE4F,PINE,020,1.64,1.58
2023-01-02,ABCB4F,ABC BRASIL,020,19.33,18.55
2023-01-02,BRIV3F,ALFA INVEST,020,9.99,9.99
2023-01-02,BRIV4F,ALFA INVEST,020,9.37,8.52
2023-01-02,BBDC3F,BRADESCO,020,13.5,13.17
2023-01-02,BBDC4F,BRADESCO,020,15.15,14.76
2023-01-02,BRBI11F,BR PARTNERS,020,11.99,11.5
2023-01-02,CVCB3F,CVC BRASIL,020,4.49,4.26
2023-01-02,ITSA3F,ITAUSA,020,8.9,8.85
2023-01-02,ITSA4F,ITAUSA,020,8.51,8.4
2023-01-02,BEES3F,BANESTES,020,5.61,5.22
2023-01-02,BEES4F,BANESTES,020,6.55,6.23
2023-01-02,BPAC3F,BTGP BANCO,020,13.19,12.3
2023-01-02,BPAC5F,BTGP BANCO,020,5.64,5.3
2023-01-02,BPAN12F,BANCO PAN,020,0.1,0.1
2023-01-02,BPAN4F,BANCO PAN,020,6.07,5.74
2023-01-02,AESB1F,AES BRASIL,020,0.25,0.25
2023-01-02,AESB3F,AES BRASIL,020,9.66,9.65
2023-01-02,AGRO3F,BRASILAGRO,020,29.96,29.23
2023-01-02,BGIP4F,BANESE,020,17.52,17.52
2023-01-02,BMEB3F,MERC BRASIL,020,10.99,10.7
2023-01-02,BMEB4F,MERC BRASIL,020,10.05,10.27
2023-01-02,BMGB4F,BANCO BMG,020,2.2,2.2
2023-01-02,BMIN4F,MERC INVEST,020,13.97,13.78
2023-01-02,EGIE3F,ENGIE BRASIL,020,37.88,37.3
2023-01-02,ITUB3F,ITAUUNIBANCO,020,21.81,21.34
2023-01-02,ITUB4F,ITAUUNIBANCO,020,24.49,24.5
2023-01-03,BRIV3,ALFA INVEST,010,9.33,9.0
2023-01-03,BRIV4,ALFA INVEST,010,9.0,9.09
2023-01-03,CVCB3,CVC BRASIL,010,4.27,3.98
2023-01-03,BPAC11,BTGP BANCO,010,22.5,21.52
2023-01-03,BPAC3,BTGP BANCO,010,12.96,11.93
2023-01-03,EGIE3,ENGIE BRASIL,010,37.24,36.98
2023-01-03,VIVT3,TELEF BRASIL,010,36.31,35.66
2023-01-03,BMEB4,MERC BRASIL,010,10.1,10.0
2023-01-03,BMGB4,BANCO BMG,010,2.19,2.12
2023-01-03,PINE4,PINE,010,1.58,1.57
2023-01-03,SANB11,SANTANDER BR,010,27.66,27.39
2023-01-03,SANB3,SANTANDER BR,010,13.23,12.93
2023-01-03,SANB4,SANTANDER BR,010,14.93,14.52
2023-01-03,LPSB3,LOPES BRASIL,010,1.75,1.72
2023-01-03,BAZA3,AMAZONIA,010,49.32,50.2
2023-01-03,BBAS3,BRASIL,010,33.26,32.64
2023-01-03,OSXB3,OSX BRASIL,010,6.61,6.61
2023-01-03,BRSR3,BANRISUL,010,10.63,10.46
2023-01-03,BRSR6,BANRISUL,010,9.47,9.3
2023-01-03,BPAC5,BTGP BANCO,010,5.14,4.89
2023-01-03,ITSA3,ITAUSA,010,8.77,8.73
2023-01-03,ITSA4,ITAUSA,010,8.37,8.15
2023-01-03,ITUB3,ITAUUNIBANCO,010,21.45,21.04
2023-01-03,ITUB4,ITAUUNIBANCO,010,24.49,23.98
2023-01-03,ABCB4,ABC BRASIL,010,18.55,17.85
2023-01-03,IRBR3,IRBBRASIL RE,010,0.88,0.87
2023-01-03,AESB3,AES BRASIL,010,9.5,9.22
2023-01-03,MODL3,MODALMAIS,010,2.08,2.07
2023-01-03,RPAD6,ALFA HOLDING,010,6.27,6.23
2023-01-03,BBDC3,BRADESCO,010,13.15,12.55
2023-01-03,BBDC4,BRADESCO,010,14.76,14.0
2023-01-03,BPAN4,BANCO PAN,010,5.73,5.57
2023-01-03,BGIP4,BANESE,010,16.95,16.95
2023-01-03,BRBI11,BR PARTNERS,010,11.41,11.18
2023-01-03,BEES3,BANESTES,010,5.19,5.05
2023-01-03,BEES4,BANESTES,010,6.25,6.3
2023-01-03,AGRO3,BRASILAGRO,010,29.12,28.29
2023-01-03,ABCB4F,ABC BRASIL,020,18.59,17.83
2023-01-03,BRIV3F,ALFA INVEST,020,8.88,8.76
2023-01-03,BRIV4F,ALFA INVEST,020,8.49,9.1
2023-01-03,BBDC3F,BRADESCO,020,13.19,12.61
2023-01-03,BBDC4F,BRADESCO,020,14.77,14.07
2023-01-03,BPAN12F,BANCO PAN,020,0.1,0.1
