DATA,COD_NEGOCIACAO,NOME_EMPRESA,TIPO_MERCADO,PRECO_ABERTURA,PRECO_FECHAMENTO
2022-01-03,MODL11,MODALMAIS,010,10.8,10.93
2022-01-03,LPSB3,LOPES BRASIL,010,2.29,2.14
2022-01-03,BBDC3,BRADESCO,010,16.28,16.55
2022-01-03,BRIV4,ALFA INVEST,010,7.62,7.62
2022-01-03,SANB3,SANTANDER BR,010,14.32,14.6
2022-02-03,BPAC3,BTGP BANCO,010,14.38,13.61
2022-02-03,BEES3,BANESTES,010,5.1,5.01
2022-02-03,VIVT3,TELEF BRASIL,010,49.52,50.14
2022-01-03,ITUB4,ITAUUNIBANCO,010,21.17,21.51
2022-01-03,ABCB4,ABC BRASIL,010,15.82,15.55
2022-02-03,BRIV3,ALFA INVEST,010,8.01,8.51
2022-02-03,MODL3,MODALMAIS,010,4.96,4.94
2022-02-03,BMGB4,BANCO BMG,010,3.14,3.1
2022-01-03,SANB11,SANTANDER BR,010,30.15,30.74
2022-01-03,NUBR33,NU-NUBANK,010,8.78,9.3
2022-02-03,BSLI3,BRB BANCO,010,28.51,30.34
2022-01-18,MODL11F,MODALMAIS,020,11.8,12.0
2022-01-18,RPAD6F,ALFA HOLDING,020,4.18,4.18
2022-01-03,BRSR5,BANRISUL,010,18.03,18.03
2022-02-03,AGRO3,BRASILAGRO,010,28.95,28.15
2022-02-18,MODL11F,MODALMAIS,020,13.77,14.04
2022-02-18,RPAD6F,ALFA HOLDING,020,4.42,4.58
2022-02-18,AESB3F,AES BRASIL,020,11.21,11.18
2022-01-18,AESB3F,AES BRASIL,020,11.22,11.2
2022-01-18,BBDC3F,BRADESCO,020,17.54,17.5
2022-01-18,BRIV4F,ALFA INVEST,020,7.88,7.8
2022-01-18,SANB3F,SANTANDER BR,020,15.0,14.85
2022-01-18,ITUB4F,ITAUUNIBANCO,020,23.5,23.54
2022-02-03,BBAS3,BRASIL,010,32.08,32.29
2022-02-03,ITSA3,ITAUSA,010,10.09,10.11
2022-02-18,BBDC3F,BRADESCO,020,17.85,17.98
2022-02-18,ITUB4F,ITAUUNIBANCO,020,26.15,26.09
2022-02-18,BRIV4F,ALFA INVEST,020,7.68,7.68
2022-01-03,BPAC3,BTGP BANCO,010,12.98,12.4
2022-01-03,BEES3,BANESTES,010,4.87,4.84
2022-01-03,VIVT3,TELEF BRASIL,010,48.17,47.81
2022-01-18,ABCB4F,ABC BRASIL,020,15.87,15.86
2022-01-18,SANB11F,SANTANDER BR,020,31.35,31.41
2022-02-03,ITUB3,ITAUUNIBANCO,010,22.03,22.21
2022-02-18,BGIP3F,BANESE,020,30.51,30.51
2022-02-18,ABCB4F,ABC BRASIL,020,16.56,16.42
2022-02-18,SANB11F,SANTANDER BR,020,31.91,31.85
2022-01-03,MODL3,MODALMAIS,010,4.15,4.49
2022-02-03,BEES4,BANESTES,010,5.66,5.72
2022-02-18,BRSR5F,BANRISUL,020,17.39,17.13
2022-02-18,RPAD3F,ALFA HOLDING,020,5.9,5.65
2022-01-03,BMGB4,BANCO BMG,010,3.12,3.05
2022-01-03,BMIN4,MERC INVEST,010,18.0,18.69
2022-01-18,BEES3F,BANESTES,020,4.83,4.82
2022-01-18,BPAC3F,BTGP BANCO,020,10.24,10.19
2022-01-18,VIVT3F,TELEF BRASIL,020,47.24,47.98
2022-02-03,ITSA4,ITAUSA,010,10.07,10.07
2022-02-18,BEES3F,BANESTES,020,4.99,5.0
2022-02-18,BPAC3F,BTGP BANCO,020,15.5,15.75
2022-02-18,VIVT3F,TELEF BRASIL,020,49.75,49.82
2022-02-18,SANB4F,SANTANDER BR,020,17.04,16.98
2022-01-03,BSLI3,BRB BANCO,010,24.46,27.83
2022-01-18,MODL3F,MODALMAIS,020,4.51,4.54
2022-02-03,BRBI11,BR PARTNERS,010,18.37,17.6
2022-02-18,MODL3F,MODALMAIS,020,5.41,5.8
2022-02-18,BRIV3F,ALFA INVEST,020,7.54,7.5
2022-02-18,BMIN4F,MERC INVEST,020,17.69,17.11
2022-01-03,AGRO3,BRASILAGRO,010,28.96,28.36
2022-01-18,BSLI3F,BRB BANCO,020,29.68,28.0
2022-01-18,BMGB4F,BANCO BMG,020,3.2,3.33
2022-01-18,AGRO3F,BRASILAGRO,020,27.77,28.0
2022-02-03,BPAC11,BTGP BANCO,010,23.59,23.2
2022-02-03,BGIP4,BANESE,010,23.42,23.42
2022-02-03,RPAD3,ALFA HOLDING,010,6.35,6.35
2022-02-18,BSLI3F,BRB BANCO,020,27.99,27.5
2022-02-18,SANB3F,SANTANDER BR,020,15.21,15.14
2022-02-18,AGRO3F,BRASILAGRO,020,30.83,29.55
2022-01-18,BBAS3F,BRASIL,020,30.45,30.7
2022-01-18,ITSA3F,ITAUSA,020,9.58,9.7
2022-01-18,ITUB3F,ITAUUNIBANCO,020,20.69,20.51
2022-02-03,BKBR3,BK BRASIL,010,6.48,6.29
2022-02-03,PINE4,PINE,010,1.65,1.65
2022-02-18,BMEB3F,MERC BRASIL,020,13.11,13.75
2022-02-18,BBAS3F,BRASIL,020,35.33,36.11
