DATA,COD_NEGOCIACAO,NOME_EMPRESA,TIPO_MERCADO,PRECO_ABERTURA,PRECO_FECHAMENTO
2021-02-11,RPAD3F,ALFA HOLDING,020,7.5,7.07
2021-02-11,RPAD5F,ALFA HOLDING,020,9.01,9.01
2021-02-11,RPAD6F,ALFA HOLDING,020,6.1,6.1
2021-02-11,SANB3F,SANTANDER BR,020,19.3,19.49
2021-02-11,SANB4F,SANTANDER BR,020,20.85,20.99
2021-02-11,SANB11F,SANTANDER BR,020,40.87,40.8
2021-01-04,ABCB4,ABC BRASIL,010,15.89,16.2
2021-01-04,AGRO3,BRASILAGRO,010,25.03,25.0
2021-01-14,VIVT3,TELEF BRASIL,010,44.74,44.44
2021-01-29,IRBR3,IRBBRASIL RE,010,7.9,7.2
2021-01-29,ITSA3,ITAUSA,010,11.79,11.62
2021-01-29,ITSA4,ITAUSA,010,10.85,10.61
2021-01-29,ITUB3,ITAUUNIBANCO,010,26.42,25.82
2021-01-29,ITUB4,ITAUUNIBANCO,010,29.22,28.34
2021-02-11,VIVT3F,TELEF BRASIL,020,47.94,49.05
2021-01-29,LPSB3,LOPES BRASIL,010,4.57,4.58
2021-01-04,BAZA3,AMAZONIA,010,42.2,41.8
2021-01-04,BBAS3,BRASIL,010,39.23,37.59
2021-01-04,BBDC3,BRADESCO,010,24.5,23.6
2021-01-04,BBDC4,BRADESCO,010,27.53,26.43
2021-01-04,BEES3,BANESTES,010,5.65,5.63
2021-01-04,BEES4,BANESTES,010,6.15,5.95
2021-01-04,BGIP4,BANESE,010,26.48,26.99
2021-02-12,ABCB4,ABC BRASIL,010,15.28,15.56
2021-02-12,AGRO3,BRASILAGRO,010,23.13,23.0
2021-01-29,OSXB3,OSX BRASIL,010,19.51,19.19
2021-01-04,BKBR3,BK BRASIL,010,11.06,10.92
2021-01-04,BMEB3,MERC BRASIL,010,16.22,16.24
2021-01-04,BMEB4,MERC BRASIL,010,16.01,15.59
2021-01-04,BMGB4,BANCO BMG,010,6.2,6.0
2021-01-04,BMIN3,MERC INVEST,010,19.99,19.99
2021-01-04,BMIN4,MERC INVEST,010,19.98,19.98
2021-01-04,BNBR3,NORD BRASIL,010,76.91,76.91
2021-01-04,BPAC3,BTGP BANCO,010,46.88,47.7
2021-01-04,BPAC5,BTGP BANCO,010,22.79,22.55
2021-01-04,BPAC11,BTGP BANCO,010,95.0,91.91
2021-01-04,BPAN4,BANCO PAN,010,9.67,9.36
2021-02-12,BAZA3,AMAZONIA,010,39.9,40.0
2021-01-29,PINE4,PINE,010,2.21,2.2
2021-02-12,BBAS3,BRASIL,010,33.76,33.75
2021-02-12,BBDC3,BRADESCO,010,22.25,22.4
2021-02-12,BBDC4,BRADESCO,010,25.1,25.2
